url,title,nodes_number
https://www.youtube.com/watch?v=ohTEPtkhGM8,Работа с массивами в ClickHouse | Мария Сомова | karpov.courses,12
https://www.youtube.com/watch?v=v-V1pCbVEKg,Саша Гребенюк - от ростовой куклы слона до проджекта в Яндексе | Подкаст | karpov courses,18
https://www.youtube.com/watch?v=eO9ohjuc86w,Вступление | Симулятор SQL | karpov.courses,6
https://www.youtube.com/watch?v=-X8LWW8r4S4,Саша Сергеев — войти в IT из любопытства | Подкаст | karpov.courses,17
https://www.youtube.com/watch?v=YpJ97aKsPj0,Особенности трудоустройства в Австралии | Вебинар | karpov.courses,19
https://www.youtube.com/watch?v=x75U0qUA4PM,Словари | Аналитик данных | karpov.courses,12
https://www.youtube.com/watch?v=X9wtuV_DjrU,Приступаем к аналитике | Аналитик данных | karpov.courses,16
https://www.youtube.com/watch?v=eKArZfPErkQ,Сергей Колесников – о карьерном пути и Data Science в Тинькофф,15
https://www.youtube.com/watch?v=JLu322-Dcow,О Симуляторе A/B-тестов | Валерий Бабушкин | karpov.courses,6
https://www.youtube.com/watch?v=ANlm1kP3orQ,Никита Елаков — как сменить хоккей на QA | Подкаст | karpov.courses,19
https://www.youtube.com/watch?v=gljfGAkgX_o,"Никита Маршалкин: A/B-тесты сложнее, чем кажется | Интервью | karpov.courses",19
https://www.youtube.com/watch?v=VPg2Uu1MYgI,ML System Design с Валерием Бабушкиным | Выпуск 1 | Собеседование |  karpov.courses,17
https://www.youtube.com/watch?v=GfuvKLLFvQo,Ира Александрова – из онлайн-казино в руководители аналитики | Подкаст | karpov.courses,19
https://www.youtube.com/watch?v=aLEDlTvLRPQ,Как оценить эффективность рекламной кампании. Считаем Retention Rate в ClickHouse | Беслан Курашов,15
https://www.youtube.com/watch?v=fRU_PXSRNCc,Фильтрация данных в Pandas | Анатолий Карпов | karpov.courses,17
https://www.youtube.com/watch?v=Ppl6w-_aRjM,Елена Серёгина – из жены браузера в аналитический консалтинг | Подкаст | karpov.courses,19
https://www.youtube.com/watch?v=r05eBsZgnI0,Способы самопроверки при анализе данных | Аналитик данных | karpov.courses,7
https://www.youtube.com/watch?v=Be5vKJZD9_I,Роман Кумар Виас о Digital Marketing  | Интервью | karpov.courses,18
https://www.youtube.com/watch?v=OXtOhjeiTzw,Работа аналитиком за рубежом | Голосовой чат | karpov.courses,15
https://www.youtube.com/watch?v=R3B9G1CVxfk,Андрей Еськов — уйти в разработку после 10 лет в банке | Подкаст | karpov.courses,15
https://www.youtube.com/watch?v=hvMvNmiaW8M,Анатолий Карпов – о каждом модуле курса «Аналитик данных»,20
https://www.youtube.com/watch?v=CcRuaCEBXpM,"Алексей Чернобровов о том, как Data Science приносит пользу бизнесу | Интервью | karpov.courses",24
https://www.youtube.com/watch?v=3X-TAuWdIAc,ML System Design с Валерием Бабушкиным | Выпуск 3 | Собеседование | karpov.courses,16
https://www.youtube.com/watch?v=l23LHX4G5iM,Как изменились требования к Junior аналитикам данных | karpov.courses,7
https://www.youtube.com/watch?v=Fj4zBcRl-5I,Бланка Шупе — как уйти из маркетинга в IT и открыть свой коворкинг | Подкаст | karpov.courses,17
https://www.youtube.com/watch?v=cK7K0g1rXKw,Знакомство с продуктом | Симулятор SQL | karpov.courses,10
https://www.youtube.com/watch?v=gAYrmR8XalQ,О карьерном пути аналитика сегодня | Алексей Никушин | karpov.courses,6
https://www.youtube.com/watch?v=G9d2likA-_E,Что такое градиентный бустинг? | Григорий Будорагин | karpov.courses,10
https://www.youtube.com/watch?v=swhkJy6bBto,Игровой аналитик | Собеседование | karpov.courses,13
https://www.youtube.com/watch?v=biJRGBlj_1M,Вова Мюге — как играть в онлайн-игры и доиграться до руководителя | Подкаст | karpov.courses,19
https://www.youtube.com/watch?v=yQ7qHZBY5xI,Как применять оконные функции в SQL и Pandas | Анатолий Карпов | karpov.courses,17
https://www.youtube.com/watch?v=32adYT59UE4,Почему аналитика данных — это база в Data Science | karpov.courses,5
https://www.youtube.com/watch?v=6ftRaV895zU,Артур Хачуян о Big Data в рекламе и политике | Интервью | karpov.courses,19
